,Flight,Time,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Class
97462,1436.0,965.0,180.0,WN,SAT,LAS,3,1
97465,399.0,465.0,60.0,WN,LAS,SNA,1,1
97467,3763.0,725.0,200.0,WN,DEN,BWI,2,1
97469,703.0,385.0,60.0,WN,DAL,TUL,3,1
97471,1394.0,1215.0,125.0,WN,SEA,OAK,2,1
97473,2051.0,1045.0,80.0,WN,CLE,MDW,6,1
97478,1153.0,935.0,55.0,WN,ONT,LAS,2,1
97482,610.0,1250.0,75.0,WN,PHX,SNA,5,1
97483,759.0,675.0,65.0,WN,PHX,ABQ,2,1
97484,3494.0,915.0,170.0,WN,LAX,AUS,1,1
97486,1326.0,710.0,65.0,WN,LAX,SJC,1,1
97487,923.0,630.0,130.0,WN,TPA,BWI,4,1
97501,2795.0,1220.0,75.0,WN,LAX,PHX,2,1
97502,186.0,1140.0,115.0,WN,BHM,DAL,1,1
97504,845.0,420.0,165.0,WN,PHL,MCO,5,1
97505,310.0,640.0,140.0,WN,TPA,PIT,2,1
97508,1027.0,455.0,95.0,WN,MKE,MCI,2,1
97509,277.0,435.0,190.0,WN,LAX,MCI,1,1
97512,2102.0,595.0,70.0,WN,SNA,PHX,5,1
97526,3222.0,1175.0,135.0,WN,STL,HOU,3,1
97528,2250.0,645.0,75.0,WN,TUS,SAN,5,1
97536,5.0,570.0,190.0,WN,HOU,PHL,3,1
97548,707.0,795.0,290.0,WN,MDW,OAK,4,1
97552,362.0,705.0,55.0,WN,LAS,ONT,7,1
97556,348.0,1000.0,110.0,WN,BWI,SDF,1,1
97567,1711.0,500.0,70.0,WN,SJC,ONT,5,1
97571,3133.0,820.0,140.0,WN,IND,TPA,2,1
97574,1923.0,640.0,80.0,WN,SJC,LAS,4,1
97577,546.0,1005.0,60.0,WN,SEA,GEG,7,1
97582,840.0,1070.0,75.0,WN,BDL,BWI,5,1
97589,1264.0,1005.0,145.0,WN,HOU,MDW,2,1
97591,217.0,740.0,140.0,WN,PBI,BWI,4,1
97593,1883.0,580.0,110.0,WN,BHM,BWI,5,1
97598,973.0,870.0,100.0,WN,BNA,BWI,3,1
97602,898.0,1010.0,60.0,WN,SAT,DAL,3,1
97604,727.0,1150.0,65.0,WN,OAK,BUR,3,1
97609,3129.0,605.0,140.0,WN,BWI,ECP,6,1
97610,1770.0,1170.0,170.0,WN,SEA,PHX,7,1
97611,1670.0,645.0,70.0,WN,OAK,ONT,5,1
97620,1846.0,915.0,130.0,WN,ONT,DEN,4,1
97621,1569.0,610.0,155.0,WN,MCO,STL,4,1
97622,218.0,1130.0,60.0,WN,BUR,LAS,7,1
97626,1019.0,1080.0,75.0,WN,LAX,OAK,7,1
97627,147.0,1170.0,125.0,WN,MCO,BWI,5,1
97631,3598.0,995.0,110.0,WN,BOI,DEN,5,1
97633,655.0,1160.0,165.0,WN,TPA,MDW,4,1
97639,3598.0,1175.0,170.0,WN,SEA,PHX,3,1
97640,3597.0,1185.0,160.0,WN,MDW,MCO,3,1
97645,2220.0,995.0,55.0,WN,PBI,TPA,5,1
97655,1846.0,1140.0,150.0,WN,DEN,BNA,2,1
97658,882.0,855.0,50.0,WN,BWI,ORF,7,1
97660,2552.0,840.0,60.0,WN,STL,BNA,4,1
97661,2053.0,1030.0,95.0,WN,SFO,LAS,4,1
97664,968.0,1240.0,70.0,WN,SMF,BUR,1,1
97667,549.0,1300.0,120.0,WN,DEN,PHX,3,1
97668,2092.0,685.0,150.0,WN,STL,DEN,2,1
97669,1884.0,915.0,125.0,WN,PHX,OAK,3,1
97671,326.0,950.0,80.0,WN,PVD,BWI,2,1
97679,1093.0,385.0,90.0,WN,BUF,BWI,2,1
97681,1834.0,935.0,150.0,WN,OKC,PHX,5,1
97683,1343.0,800.0,80.0,WN,SMF,LAS,2,1
97689,1405.0,730.0,140.0,WN,PHL,MDW,6,1
97693,3654.0,900.0,85.0,WN,HOU,TUL,3,1
97700,370.0,1205.0,85.0,WN,PHL,BOS,2,1
97702,3010.0,1060.0,100.0,WN,OAK,PDX,6,1
97703,1030.0,980.0,90.0,WN,BHM,MCO,7,1
97706,1533.0,1160.0,75.0,WN,ELP,SAT,4,1
97711,1181.0,570.0,90.0,WN,CMH,STL,1,1
97715,529.0,675.0,85.0,WN,SAN,OAK,7,1
97720,1295.0,1120.0,70.0,WN,HOU,JAN,5,1
97727,3311.0,1295.0,55.0,WN,LAS,ONT,2,1
97728,3415.0,1100.0,105.0,WN,PDX,SLC,4,1
97729,517.0,1050.0,125.0,WN,PHX,OAK,3,1
97734,1285.0,840.0,135.0,WN,MDW,ISP,2,1
97746,372.0,1185.0,200.0,WN,FLL,MDW,7,1
97749,1057.0,720.0,60.0,WN,BUR,LAS,2,1
97751,2335.0,830.0,75.0,WN,ABQ,PHX,7,1
97758,598.0,895.0,65.0,WN,LAX,LAS,4,1
97762,1499.0,530.0,70.0,WN,MDW,STL,3,1
97767,218.0,1130.0,60.0,WN,BUR,LAS,1,1
97770,9.0,835.0,115.0,WN,STL,BWI,3,1
97771,1003.0,825.0,60.0,WN,FLL,TPA,7,1
97776,1075.0,530.0,75.0,WN,ABQ,DEN,7,1
97777,430.0,1030.0,70.0,WN,BHM,MSY,3,1
97784,780.0,1265.0,105.0,WN,STL,DAL,3,1
97786,522.0,1155.0,105.0,WN,BNA,MCO,3,1
97792,3077.0,490.0,80.0,WN,SNA,OAK,3,1
97798,24.0,910.0,80.0,WN,MCI,MKE,5,1
97803,1084.0,845.0,95.0,WN,ABQ,DAL,3,1
97804,2177.0,1200.0,75.0,WN,SMF,ONT,3,1
97805,1228.0,780.0,165.0,WN,LAX,SAT,1,1
97806,1006.0,910.0,115.0,WN,AUS,BNA,2,1
97807,1294.0,965.0,80.0,WN,LAX,PHX,3,1
97810,1502.0,1220.0,80.0,WN,SLC,LAS,5,1
97811,743.0,1120.0,80.0,WN,DEN,OMA,5,1
97814,348.0,1140.0,70.0,WN,SDF,STL,3,1
97823,1381.0,565.0,60.0,WN,RDU,BWI,7,1
97825,2406.0,745.0,105.0,WN,BNA,MCO,6,1
97826,2549.0,1140.0,145.0,WN,DEN,IND,1,1
97834,764.0,565.0,115.0,WN,MDW,PHL,4,1
97837,2142.0,585.0,90.0,WN,CMH,STL,6,1
97838,843.0,895.0,75.0,WN,ABQ,PHX,7,1
97839,606.0,1130.0,195.0,WN,MCI,LAS,4,1
97840,2146.0,910.0,160.0,WN,BDL,MDW,5,1
97844,746.0,685.0,75.0,WN,BOI,PDX,1,1
97848,1050.0,840.0,60.0,WN,RDU,BWI,7,1
97853,27.0,1235.0,65.0,WN,BWI,BDL,3,1
97854,454.0,700.0,90.0,WN,BNA,MDW,1,1
97858,1082.0,1130.0,115.0,WN,HOU,STL,3,1
97861,748.0,1105.0,125.0,WN,MCO,BWI,2,1
97862,1698.0,720.0,60.0,WN,FLL,TPA,6,1
97863,404.0,925.0,170.0,WN,MKE,TPA,4,1
97866,329.0,810.0,50.0,WN,RSW,MCO,2,1
97871,3668.0,810.0,70.0,WN,PHX,ONT,3,1
97873,1973.0,705.0,200.0,WN,PVD,TPA,6,1
97876,1747.0,600.0,60.0,WN,HRL,HOU,2,1
97878,1414.0,870.0,65.0,WN,PHX,LAS,4,1
97883,1872.0,765.0,90.0,WN,JAX,ORF,6,1
97886,3101.0,690.0,250.0,WN,STL,LAX,4,1
97892,861.0,1225.0,70.0,WN,LAX,OAK,5,1
97907,653.0,415.0,75.0,WN,OAK,LAX,5,1
97922,939.0,565.0,165.0,WN,DEN,SJC,4,1
97924,1910.0,980.0,60.0,WN,SAT,DAL,5,1
97925,748.0,360.0,145.0,WN,SMF,DEN,4,1
97928,3320.0,1035.0,85.0,WN,MSY,BNA,5,1
97931,525.0,1100.0,80.0,WN,MCI,MDW,5,1
97933,822.0,920.0,90.0,WN,BOS,BWI,5,1
97948,42.0,1170.0,155.0,WN,ABQ,OAK,3,1
97953,49.0,1205.0,125.0,WN,HOU,MCO,2,1
97954,546.0,1005.0,60.0,WN,SEA,GEG,4,1
97955,1256.0,850.0,215.0,WN,MDW,SLC,7,1
97960,1289.0,1010.0,155.0,WN,SAT,MDW,1,1
97964,2375.0,1070.0,135.0,WN,STL,HOU,5,1
97967,52.0,1140.0,60.0,WN,HOU,DAL,1,1
97968,752.0,520.0,155.0,WN,DEN,SNA,5,1
97969,703.0,670.0,85.0,WN,SMF,SNA,5,1
97971,903.0,1230.0,60.0,WN,LAX,LAS,3,1
97973,292.0,845.0,300.0,WN,LAS,PVD,7,1
97977,984.0,780.0,85.0,WN,LAS,SJC,4,1
97978,2871.0,1070.0,115.0,WN,DAL,ABQ,3,1
97982,1264.0,770.0,140.0,WN,DEN,HOU,2,1
97983,1592.0,715.0,190.0,WN,BUF,FLL,3,1
97990,3775.0,395.0,75.0,WN,SFO,LAX,1,1
97992,2181.0,780.0,95.0,WN,SEA,RNO,1,1
97993,1835.0,405.0,85.0,WN,OAK,LAS,6,1
97997,1824.0,705.0,90.0,WN,MDW,MSP,3,1
97998,1089.0,380.0,95.0,WN,SLC,DEN,4,1
98002,2096.0,735.0,70.0,WN,BUF,BWI,4,1
98008,907.0,735.0,150.0,WN,ALB,MDW,7,1
98017,1106.0,740.0,100.0,WN,OAK,PDX,5,1
98022,732.0,1175.0,60.0,WN,LBB,DAL,3,1
98029,661.0,760.0,65.0,WN,DAL,LBB,4,1
98037,1340.0,785.0,165.0,WN,DEN,SJC,6,1
98038,1395.0,765.0,105.0,WN,MSY,STL,3,1
98046,8.0,665.0,195.0,WN,MCI,LAS,2,1
98054,2900.0,1235.0,70.0,WN,SJC,ONT,1,1
98056,915.0,1185.0,65.0,WN,STL,MCI,3,1
98066,368.0,565.0,75.0,WN,BWI,MHT,4,1
98079,431.0,930.0,85.0,WN,TPA,BHM,7,1
98083,2543.0,470.0,70.0,WN,MDW,DTW,2,1
98084,2522.0,1190.0,225.0,WN,HOU,LAX,7,1
98085,1848.0,1150.0,85.0,WN,BNA,RDU,4,1
98086,1175.0,620.0,100.0,WN,RNO,PHX,4,1
98087,764.0,1065.0,155.0,WN,MCO,BDL,5,1
98095,1751.0,390.0,115.0,WN,HOU,STL,4,1
98098,3405.0,985.0,95.0,WN,SAN,SMF,4,1
98102,3335.0,1280.0,85.0,WN,SNA,SMF,2,1
98105,2289.0,605.0,140.0,WN,BWI,ECP,5,1
98111,1154.0,495.0,100.0,WN,SAN,SFO,2,1
98112,145.0,585.0,140.0,WN,SAN,DEN,7,1
98117,2640.0,925.0,90.0,WN,LAS,SMF,2,1
98118,2633.0,765.0,140.0,WN,MCI,BWI,4,1
98119,1094.0,810.0,255.0,WN,MCI,SEA,3,1
98121,2364.0,930.0,290.0,WN,MDW,OAK,4,1
98122,1250.0,980.0,70.0,WN,BUR,OAK,4,1
98129,50.0,1190.0,65.0,WN,DAL,LBB,5,1
98130,822.0,920.0,90.0,WN,BOS,BWI,1,1
98134,413.0,910.0,85.0,WN,SFO,SAN,3,1
98141,1037.0,790.0,110.0,WN,BWI,SDF,3,1
98145,1681.0,530.0,280.0,WN,MDW,PDX,4,1
98150,569.0,595.0,250.0,WN,LAS,TPA,4,1
98156,2697.0,1230.0,70.0,WN,BUR,OAK,2,1
98162,2841.0,945.0,155.0,WN,DEN,LAX,6,1
98166,1686.0,1160.0,85.0,WN,TPA,BHM,4,1
98169,1322.0,1170.0,75.0,WN,SNA,SJC,3,1
98172,591.0,1200.0,90.0,WN,LAS,OAK,1,1
98176,766.0,625.0,160.0,WN,MCO,ALB,2,1
98179,2361.0,1180.0,115.0,WN,DEN,TUS,6,1
98183,2254.0,820.0,65.0,WN,LAS,BUR,1,1
98184,678.0,705.0,70.0,WN,SAN,LAS,7,1
98194,2214.0,970.0,70.0,WN,PHX,LAS,6,1
98195,2354.0,480.0,135.0,WN,MDW,BOS,4,1
98196,2807.0,630.0,60.0,WN,ONT,LAS,5,1
98197,243.0,810.0,55.0,WN,AUS,DAL,4,1
98204,1389.0,625.0,160.0,WN,MDW,MCO,6,1
98206,960.0,1145.0,240.0,WN,MDW,TUS,1,1
98209,1325.0,1095.0,60.0,WN,BWI,ISP,3,1
98210,114.0,1265.0,85.0,WN,SFO,SAN,1,1
98212,2902.0,530.0,285.0,WN,MDW,SMF,3,1
98213,1108.0,1260.0,75.0,WN,DEN,ABQ,2,1
98214,188.0,760.0,105.0,WN,BNA,MCI,7,1
98215,130.0,790.0,75.0,WN,LAX,OAK,1,1
98217,2445.0,1130.0,60.0,WN,SJC,BUR,5,1
98219,824.0,1050.0,65.0,WN,PHX,SAN,3,1
98234,3511.0,1080.0,135.0,WN,SLC,SEA,5,1
98238,1029.0,1000.0,80.0,WN,SNA,OAK,5,1
98243,1754.0,870.0,85.0,WN,SMF,SNA,4,1
98249,1548.0,930.0,125.0,WN,SEA,OAK,1,1
98256,1587.0,415.0,65.0,WN,LBB,DAL,2,1
98258,610.0,1175.0,85.0,WN,RNO,SAN,7,1
98260,2964.0,1050.0,65.0,WN,OAK,BUR,4,1
98261,469.0,570.0,85.0,WN,BNA,MDW,7,1
98266,1219.0,670.0,90.0,WN,SLC,ABQ,2,1
98273,30.0,810.0,55.0,WN,HOU,DAL,5,1
98282,207.0,1090.0,65.0,WN,MDW,CMH,7,1
98284,849.0,1120.0,165.0,WN,LAS,SEA,3,1
98285,2010.0,660.0,365.0,WN,BOS,PHX,2,1
98290,1202.0,1010.0,160.0,WN,BDL,MDW,4,1
98293,1660.0,1015.0,75.0,WN,OAK,LAX,3,1
98296,842.0,780.0,120.0,WN,DEN,MSP,7,1
98298,679.0,870.0,65.0,WN,DAL,SAT,6,1
98302,1050.0,685.0,125.0,WN,FLL,RDU,1,1
98303,2983.0,1215.0,70.0,WN,OAK,ONT,2,1
98306,532.0,660.0,130.0,WN,MDW,ISP,4,1
98312,2920.0,1050.0,145.0,WN,DEN,IND,6,1
98313,2804.0,870.0,170.0,WN,PHL,PBI,6,1
98318,562.0,1220.0,75.0,WN,OAK,LAX,3,1
98322,2751.0,1065.0,65.0,WN,LAS,BUR,5,1
98326,2510.0,1160.0,70.0,WN,SJC,LAX,5,1
98327,3054.0,480.0,150.0,WN,FLL,BWI,1,1
98332,1680.0,1195.0,100.0,WN,OAK,SLC,2,1
98333,434.0,735.0,250.0,WN,STL,LAX,5,1
98337,1238.0,840.0,55.0,WN,ORF,BWI,6,1
98341,3422.0,470.0,70.0,WN,PHX,ONT,4,1
98346,910.0,1250.0,50.0,WN,DAL,OKC,7,1
98347,2299.0,600.0,95.0,WN,SFO,LAS,6,1
98351,2116.0,995.0,225.0,WN,MCI,LAX,7,1
98353,1342.0,850.0,175.0,WN,MCO,AUS,6,1
98354,522.0,1155.0,105.0,WN,BNA,MCO,4,1
98358,351.0,660.0,65.0,WN,LAS,SAN,1,1
98361,3145.0,1150.0,195.0,WN,LAS,MSY,3,1
98369,498.0,1180.0,150.0,WN,LAS,GEG,2,1
98371,595.0,490.0,80.0,WN,PDX,RNO,3,1
98373,1964.0,975.0,250.0,WN,MKE,LAS,2,1
98375,1664.0,730.0,70.0,WN,SJC,LAX,1,1
98378,1504.0,540.0,85.0,WN,SAN,SJC,5,1
98382,184.0,1150.0,165.0,WN,FLL,PHL,1,1
98383,1839.0,395.0,120.0,WN,IAD,MDW,3,1
98387,3415.0,955.0,100.0,WN,DAL,STL,1,1
98396,1532.0,1260.0,85.0,WN,LAS,OAK,7,1
98397,1678.0,495.0,295.0,WN,BOS,DEN,2,1
98404,1345.0,575.0,65.0,WN,LIT,DAL,3,1
98406,3152.0,930.0,265.0,WN,LAS,MCO,6,1
98408,146.0,795.0,85.0,WN,OAK,LAS,1,1
98409,3773.0,1010.0,50.0,WN,TPA,JAX,1,1
98414,2797.0,465.0,255.0,WN,MDW,LAS,5,1
98418,749.0,685.0,185.0,WN,MDW,FLL,7,1
98423,3403.0,880.0,80.0,WN,BWI,BOS,7,1
98426,117.0,500.0,110.0,WN,ABQ,MCI,5,1
98429,3659.0,660.0,115.0,WN,MCO,BNA,3,1
98432,751.0,1280.0,75.0,WN,SJC,SAN,7,1
98434,1879.0,930.0,70.0,WN,BWI,PVD,6,1
98438,950.0,840.0,55.0,WN,SAT,DAL,3,1
98451,353.0,1240.0,65.0,WN,BOI,GEG,5,1
98455,1748.0,845.0,85.0,WN,MDW,OMA,3,1
98457,903.0,1135.0,180.0,WN,MDW,FLL,3,1
98468,1273.0,530.0,150.0,WN,LAS,SAT,7,1
98471,1307.0,1105.0,75.0,WN,BNA,ECP,3,1
98476,211.0,650.0,95.0,WN,SAN,SMF,1,1
98483,1413.0,1110.0,55.0,WN,ABQ,LBB,1,1
98484,465.0,755.0,155.0,WN,MCI,TPA,7,1
98487,3104.0,660.0,165.0,WN,TPA,BDL,6,1
98490,3065.0,895.0,70.0,WN,MCI,OKC,6,1
98499,1599.0,1155.0,155.0,WN,HOU,DEN,2,1
98506,3925.0,1090.0,110.0,WN,RDU,TPA,4,1
98509,2861.0,905.0,70.0,WN,BDL,BWI,6,1
98510,311.0,420.0,155.0,WN,OKC,PHX,3,1
98511,1945.0,365.0,160.0,WN,SEA,DEN,3,1
98512,1751.0,1105.0,120.0,WN,DEN,PHX,1,1
98517,1071.0,895.0,70.0,WN,SJC,LAX,3,1
98518,2706.0,735.0,110.0,WN,MDW,BWI,5,1
98520,353.0,1095.0,65.0,WN,RNO,BOI,5,1
98524,293.0,1040.0,150.0,WN,PHX,MCI,4,1
98525,1284.0,405.0,160.0,WN,MDW,MCO,6,1
98530,488.0,1080.0,110.0,WN,STL,RDU,7,1
98539,142.0,1145.0,125.0,WN,BWI,JAX,4,1
98542,3949.0,700.0,70.0,WN,BNA,CMH,1,1
98545,526.0,955.0,70.0,WN,BUR,OAK,2,1
98548,403.0,850.0,60.0,WN,DAL,LIT,4,1
98551,1320.0,375.0,165.0,WN,LAS,SEA,1,1
98552,2341.0,835.0,155.0,WN,MCI,TPA,6,1
98553,146.0,915.0,280.0,WN,LAS,PHL,1,1
98556,1656.0,650.0,105.0,WN,PDX,SJC,2,1
98558,1329.0,985.0,65.0,WN,DAL,SAT,5,1
98561,3510.0,1045.0,175.0,WN,MCO,MDW,7,1
98563,686.0,720.0,150.0,WN,BWI,TPA,2,1
98564,891.0,420.0,105.0,WN,MDW,IAD,1,1
98565,2015.0,445.0,240.0,WN,SAN,MDW,5,1
98571,1002.0,545.0,120.0,WN,BWI,BNA,3,1
98572,1551.0,965.0,75.0,WN,LAX,SFO,4,1
98574,2993.0,780.0,120.0,WN,MKE,BWI,1,1
98575,2471.0,570.0,255.0,WN,LAS,PIT,6,1
98576,1095.0,1185.0,140.0,WN,BWI,MCO,2,1
98578,1543.0,505.0,130.0,WN,BNA,HOU,5,1
98579,1611.0,825.0,165.0,WN,DEN,SFO,2,1
98583,413.0,775.0,230.0,WN,LAX,BNA,4,1
98584,24.0,720.0,55.0,WN,HOU,DAL,5,1
98587,658.0,615.0,45.0,WN,HOU,AUS,4,1
98588,3237.0,1150.0,285.0,WN,MDW,LAX,6,1
98592,765.0,830.0,245.0,WN,SMF,MDW,3,1
98595,1381.0,790.0,65.0,WN,DTW,MDW,4,1
98596,3150.0,790.0,145.0,WN,BWI,MCO,3,1
98597,132.0,1185.0,75.0,WN,LAX,PHX,2,1
98598,3950.0,735.0,155.0,WN,LAS,GEG,1,1
98600,874.0,630.0,160.0,WN,LAS,OMA,1,1
98605,1655.0,570.0,130.0,WN,MDW,LGA,5,1
98614,3655.0,860.0,195.0,WN,BDL,TPA,2,1
98616,16.0,775.0,135.0,WN,AMA,LAS,5,1
98633,477.0,530.0,285.0,WN,MDW,SEA,5,1
98634,1064.0,1175.0,145.0,WN,SEA,LAS,4,1
98636,2431.0,1010.0,80.0,WN,ALB,BWI,6,1
98639,1099.0,645.0,200.0,WN,OAK,MCI,5,1
98645,132.0,1080.0,75.0,WN,SFO,LAX,7,1
98648,2726.0,590.0,125.0,WN,SDF,TPA,7,1
98649,2417.0,815.0,60.0,WN,PIT,BWI,5,1
98650,1574.0,1005.0,270.0,WN,LAS,BWI,7,1
98655,2640.0,705.0,65.0,WN,PDX,BOI,5,1
98667,1217.0,890.0,120.0,WN,HOU,TPA,1,1
98669,1336.0,1185.0,165.0,WN,MCO,MHT,4,1
98671,2005.0,1105.0,85.0,WN,BNA,JAX,1,1
98676,1522.0,890.0,205.0,WN,PVD,FLL,6,1
98677,3058.0,855.0,80.0,WN,ONT,SMF,5,1
98678,1024.0,795.0,70.0,WN,SAN,LAS,3,1
98679,1608.0,840.0,70.0,WN,SDF,STL,6,1
98682,437.0,640.0,65.0,WN,BWI,BUF,3,1
98685,921.0,1010.0,100.0,WN,MHT,BWI,4,1
98694,1239.0,1185.0,75.0,WN,SJC,SAN,3,1
98695,2453.0,800.0,65.0,WN,ONT,PHX,3,1
98699,795.0,1075.0,80.0,WN,OKC,HOU,5,1
98701,174.0,1020.0,230.0,WN,DEN,FLL,2,1
98705,2202.0,1130.0,165.0,WN,FLL,ISP,6,1
98708,673.0,815.0,90.0,WN,DAL,BHM,4,1
98712,3923.0,1220.0,140.0,WN,DEN,HOU,1,1
98715,1414.0,505.0,55.0,WN,SAT,DAL,4,1
98717,1376.0,810.0,85.0,WN,SJC,LAS,6,1
98727,3915.0,375.0,50.0,WN,AUS,HOU,3,1
98732,987.0,735.0,115.0,WN,DEN,PHX,7,1
98741,1440.0,1120.0,85.0,WN,OAK,SAN,5,1
98744,1110.0,1190.0,165.0,WN,TPA,BDL,4,1
98751,316.0,730.0,165.0,WN,BWI,JAN,1,1
98754,288.0,935.0,110.0,WN,DAL,ABQ,3,1
98757,1099.0,990.0,55.0,WN,MCI,STL,3,1
98761,359.0,1145.0,80.0,WN,SNA,SFO,4,1
98763,3052.0,875.0,70.0,WN,BDL,BWI,3,1
98764,1933.0,615.0,135.0,WN,CMH,MCO,3,1
98770,46.0,705.0,100.0,WN,MHT,PHL,3,1
98772,1499.0,740.0,95.0,WN,TUL,HOU,1,1
98777,1543.0,885.0,130.0,WN,MCO,BWI,6,1
98781,1741.0,1235.0,75.0,WN,BWI,MHT,3,1
98782,2912.0,830.0,60.0,WN,STL,BNA,5,1
98800,2885.0,750.0,95.0,WN,SAN,SMF,3,1
98810,317.0,1140.0,95.0,WN,MSY,MCO,1,1
98812,1153.0,935.0,55.0,WN,ONT,LAS,7,1
98813,3137.0,1060.0,185.0,WN,LAS,STL,7,1
98814,60.0,1145.0,150.0,WN,TPA,HOU,1,1
98816,514.0,1020.0,115.0,WN,BHM,HOU,1,1
98817,1430.0,425.0,250.0,WN,OAK,MDW,5,1
98824,2860.0,705.0,80.0,WN,SMF,LAX,7,1
98834,2456.0,865.0,190.0,WN,ALB,MCO,3,1
98841,3142.0,675.0,65.0,WN,AMA,DAL,4,1
98845,2548.0,710.0,90.0,WN,SNA,SMF,5,1
98848,2548.0,650.0,85.0,WN,MSY,BNA,3,1
98849,3934.0,430.0,85.0,WN,MDW,BNA,2,1
98851,475.0,1140.0,95.0,WN,LAS,SFO,4,1
98854,2632.0,1205.0,185.0,WN,AUS,LAS,4,1
98859,2226.0,920.0,155.0,WN,MCO,STL,6,1
98868,3230.0,935.0,95.0,WN,JAX,BNA,4,1
98870,260.0,835.0,85.0,WN,MDW,BUF,5,1
98871,40.0,960.0,60.0,WN,HOU,DAL,2,1
98877,12.0,540.0,55.0,WN,HOU,DAL,3,1
98878,668.0,825.0,125.0,WN,IAD,MDW,1,1
98881,1077.0,835.0,80.0,WN,PVD,BWI,4,1
98885,637.0,835.0,255.0,WN,IND,LAS,3,1
98888,505.0,960.0,205.0,WN,PHX,SDF,4,1
98889,611.0,585.0,85.0,WN,BUR,PHX,1,1
98892,1615.0,785.0,215.0,WN,LAS,MDW,1,1
98893,885.0,760.0,175.0,WN,HOU,PHX,4,1
98901,102.0,1065.0,130.0,WN,BNA,HOU,5,1
98904,2524.0,1240.0,170.0,WN,MDW,HOU,4,1
98907,1685.0,1225.0,75.0,WN,SJC,SAN,7,1
98909,2.0,475.0,75.0,WN,DAL,MAF,1,1
98910,781.0,985.0,55.0,WN,MDW,IND,1,1
98913,2871.0,1070.0,115.0,WN,DAL,ABQ,1,1
98914,2061.0,650.0,80.0,WN,STL,TUL,6,1
98925,2051.0,1095.0,65.0,WN,MDW,STL,5,1
98929,309.0,395.0,105.0,WN,PDX,OAK,7,1
98942,1533.0,985.0,70.0,WN,DEN,ABQ,4,1
98943,514.0,620.0,245.0,WN,MDW,LAS,2,1
98952,225.0,705.0,145.0,WN,TPA,STL,1,1
98961,1361.0,805.0,115.0,WN,ELP,LAS,2,1
98963,748.0,765.0,85.0,WN,OKC,HOU,5,1
98965,1221.0,1040.0,75.0,WN,PHL,PIT,1,1
98968,3145.0,960.0,70.0,WN,SMF,BUR,4,1
98969,707.0,690.0,125.0,WN,RDU,FLL,5,1
98971,3778.0,785.0,105.0,WN,PHX,DEN,5,1
98973,2292.0,580.0,70.0,WN,OAK,ONT,1,1
98976,2549.0,910.0,135.0,WN,LAX,DEN,1,1
98978,884.0,1125.0,165.0,WN,TPA,BDL,7,1
98986,829.0,1015.0,65.0,WN,BUR,LAS,4,1
98992,2103.0,1020.0,70.0,WN,SAN,PHX,5,1
98993,2958.0,625.0,200.0,WN,SAT,LAX,3,1
98994,2217.0,475.0,50.0,WN,AUS,HOU,6,1
98999,360.0,995.0,100.0,WN,LAS,ELP,1,1
99007,2094.0,675.0,60.0,WN,HOU,HRL,7,1
99008,3065.0,825.0,120.0,WN,MDW,ORF,2,1
99022,914.0,960.0,65.0,WN,LAX,SJC,3,1
99023,1090.0,570.0,120.0,WN,MDW,LGA,5,1
99025,431.0,1050.0,70.0,WN,PHX,ONT,3,1
99028,3403.0,990.0,195.0,WN,BOS,STL,4,1
99029,677.0,1200.0,120.0,WN,PHX,AUS,4,1
99031,138.0,825.0,70.0,WN,PHL,PIT,2,1
99035,276.0,860.0,110.0,WN,LAS,DEN,1,1
99037,3762.0,1100.0,70.0,WN,SJC,ONT,7,1
99038,831.0,485.0,185.0,WN,MDW,SAT,4,1
99049,2631.0,1145.0,95.0,WN,LAS,SMF,2,1
99055,1956.0,1130.0,150.0,WN,SAT,PHX,4,1
99056,3401.0,665.0,130.0,WN,DEN,SAT,3,1
99058,1599.0,1010.0,115.0,WN,BHM,HOU,7,1
99059,1945.0,1100.0,130.0,WN,MDW,LGA,7,1
99061,3755.0,685.0,75.0,WN,OAK,LAX,2,1
99062,251.0,1095.0,90.0,WN,RNO,PDX,4,1
99064,2914.0,630.0,190.0,WN,HOU,PHL,6,1
99066,153.0,615.0,145.0,WN,DEN,IND,1,1
99075,2697.0,620.0,135.0,WN,BWI,BHM,4,1
99076,3915.0,695.0,135.0,WN,MDW,BOS,1,1
99077,9.0,910.0,75.0,WN,PHL,BOS,6,1
99080,1386.0,975.0,65.0,WN,LAX,SJC,4,1
99084,484.0,1280.0,125.0,WN,OAK,SEA,4,1
99087,1532.0,865.0,130.0,WN,JAN,BWI,3,1
99090,1807.0,1190.0,70.0,WN,BWI,PVD,6,1
99093,2903.0,395.0,80.0,WN,SJC,SAN,3,1
99095,2982.0,630.0,95.0,WN,JAX,BNA,7,1
99096,31.0,930.0,60.0,WN,HOU,HRL,1,1
99097,843.0,995.0,65.0,WN,PHX,LAS,1,1
99100,30.0,890.0,105.0,WN,DAL,ELP,3,1
99112,479.0,1200.0,70.0,WN,DAL,AMA,7,1
99120,348.0,1000.0,110.0,WN,BWI,SDF,4,1
99127,3398.0,870.0,195.0,WN,PHX,BNA,5,1
99132,1077.0,835.0,80.0,WN,PVD,BWI,1,1
99135,172.0,1065.0,75.0,WN,CMH,MDW,5,1
99137,1122.0,515.0,175.0,WN,DEN,OAK,3,1
